Metric,Country,Administrative region,Year,HS_BIN,Class label,Count,Total valid cells,Percentage (%)
FC,China,Jilin,2020,-1,"Cold spot, 90%",3,206,1.46
FC,China,Jilin,2020,0,Not significant,10,206,4.85
FC,China,Jilin,2020,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2020,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2020,3,"Hot spot, 99%",4,206,1.94
FC,China,Jilin,2021,-3,"Cold spot, 99%",106,206,51.46
FC,China,Jilin,2021,-2,"Cold spot, 95%",92,206,44.66
FC,China,Jilin,2021,-1,"Cold spot, 90%",2,206,0.97
FC,China,Jilin,2021,0,Not significant,6,206,2.91
FC,China,Jilin,2021,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2021,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2021,3,"Hot spot, 99%",0,206,0.0
FC,China,Jilin,2022,-3,"Cold spot, 99%",104,206,50.49
FC,China,Jilin,2022,-2,"Cold spot, 95%",91,206,44.17
FC,China,Jilin,2022,-1,"Cold spot, 90%",3,206,1.46
FC,China,Jilin,2022,0,Not significant,8,206,3.88
FC,China,Jilin,2022,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2022,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2022,3,"Hot spot, 99%",0,206,0.0
FC,China,Jilin,2023,-3,"Cold spot, 99%",100,206,48.54
FC,China,Jilin,2023,-2,"Cold spot, 95%",97,206,47.09
FC,China,Jilin,2023,-1,"Cold spot, 90%",3,206,1.46
FC,China,Jilin,2023,0,Not significant,6,206,2.91
FC,China,Jilin,2023,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2023,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2023,3,"Hot spot, 99%",0,206,0.0
FC,China,Jilin,2024,-3,"Cold spot, 99%",89,206,43.2
FC,China,Jilin,2024,-2,"Cold spot, 95%",96,206,46.6
FC,China,Jilin,2024,-1,"Cold spot, 90%",20,206,9.71
FC,China,Jilin,2024,0,Not significant,1,206,0.49
FC,China,Jilin,2024,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2024,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2024,3,"Hot spot, 99%",0,206,0.0
FC,China,Jilin,2025,-3,"Cold spot, 99%",101,206,49.03
FC,China,Jilin,2025,-2,"Cold spot, 95%",86,206,41.75
FC,China,Jilin,2025,-1,"Cold spot, 90%",18,206,8.74
FC,China,Jilin,2025,0,Not significant,1,206,0.49
FC,China,Jilin,2025,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2025,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2025,3,"Hot spot, 99%",0,206,0.0
FC,North Korea,Chagang-do,2001,-3,"Cold spot, 99%",11,155,7.1
FC,North Korea,Chagang-do,2001,-2,"Cold spot, 95%",52,155,33.55
FC,North Korea,Chagang-do,2001,-1,"Cold spot, 90%",15,155,9.68
FC,North Korea,Chagang-do,2001,0,Not significant,77,155,49.68
FC,North Korea,Chagang-do,2001,1,"Hot spot, 90%",0,155,0.0
FC,North Korea,Chagang-do,2001,2,"Hot spot, 95%",0,155,0.0
FC,North Korea,Chagang-do,2001,3,"Hot spot, 99%",0,155,0.0
FC,North Korea,Chagang-do,2002,-3,"Cold spot, 99%",94,155,60.65
FC,North Korea,Chagang-do,2002,-2,"Cold spot, 95%",41,155,26.45
FC,North Korea,Chagang-do,2002,-1,"Cold spot, 90%",14,155,9.03
FC,North Korea,Chagang-do,2002,0,Not significant,6,155,3.87
FC,North Korea,Chagang-do,2002,1,"Hot spot, 90%",0,155,0.0
FC,North Korea,Chagang-do,2002,2,"Hot spot, 95%",0,155,0.0
FC,North Korea,Chagang-do,2002,3,"Hot spot, 99%",0,155,0.0
FC,North Korea,Chagang-do,2003,-3,"Cold spot, 99%",129,155,83.23
FC,North Korea,Chagang-do,2003,-2,"Cold spot, 95%",26,155,16.77
FC,North Korea,Chagang-do,2003,-1,"Cold spot, 90%",0,155,0.0
FC,North Korea,Chagang-do,2003,0,Not significant,0,155,0.0
FC,North Korea,Chagang-do,2003,1,"Hot spot, 90%",0,155,0.0
FC,North Korea,Chagang-do,2003,2,"Hot spot, 95%",0,155,0.0
FC,North Korea,Chagang-do,2003,3,"Hot spot, 99%",0,155,0.0
FC,North Korea,Chagang-do,2004,-3,"Cold spot, 99%",95,155,61.29
FC,North Korea,Chagang-do,2004,-2,"Cold spot, 95%",57,155,36.77
FC,North Korea,Chagang-do,2004,-1,"Cold spot, 90%",3,155,1.94
FC,North Korea,Chagang-do,2004,0,Not significant,0,155,0.0
FC,North Korea,Chagang-do,2004,1,"Hot spot, 90%",0,155,0.0
FC,North Korea,Chagang-do,2004,2,"Hot spot, 95%",0,155,0.0
FC,North Korea,Chagang-do,2004,3,"Hot spot, 99%",0,155,0.0
FC,North Korea,Chagang-do,2005,-3,"Cold spot, 99%",97,155,62.58
FC,North Korea,Chagang-do,2005,-2,"Cold spot, 95%",52,155,33.55
FC,North Korea,Chagang-do,2005,-1,"Cold spot, 90%",6,155,3.87
FC,North Korea,Chagang-do,2005,0,Not significant,0,155,0.0
FC,North Korea,Chagang-do,2005,1,"Hot spot, 90%",0,155,0.0
